Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
USRT,iShares Core U.S. REIT ETF,Real Estate,"$1,793,777,124.00",4.63%,"203,915",$57.12,-1.50%,No,No,0.30%,2.27%,15.57%,29.77%,40.87%,"$16,484,830.00","$2,899,547.00","$61,715,884.50","$482,349,433.00","$1,483,004,867.50","$1,474,149,514.50",Real Estate,2007-05-04,0.08%,N/A,$1.82,2019-12-16,$0.54,3.14%,30.79,0.53,155,36.19%,20%,39%,1099,$54.98,$57.80,$56.82,$57.71,60.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.3,38.82%,24.41%,105.64,0.85%,12.78%
REM,iShares Mortgage Real Estate ETF,Real Estate,"$1,559,272,650.00",7.81%,"285,466",$48.01,0.02%,No,No,1.72%,4.44%,20.86%,42.45%,65.83%,"$16,077,028.50","-$4,771,098.50","$13,793,372.50","$168,499,626.00","$248,946,286.50","$335,382,689.00",Real Estate,2007-05-04,0.48%,N/A,$3.63,2019-12-16,$0.93,7.57%,12.52,0.56,37,70.34%,35%,15%,1099,$45.29,$48.12,$47.95,$48.11,80.43,B,A,B,C,C,A+,B,2.48,10.59%,5.18%,10.86,0.00%,0.00%
BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Real Estate,"$1,304,721,669.00",4.71%,"61,703",$92.91,-1.39%,No,No,0.40%,2.37%,15.54%,N/A,N/A,"$27,123,771.75","$13,960,013.75","$9,484,327.25","$1,070,152,881.75","$1,144,924,190.50","$1,144,924,190.50",Real Estate,2018-06-15,0.11%,N/A,$1.94,2019-12-30,$0.03,2.06%,40.59,0.51,149,36.10%,39%,20%,1099,$89.33,$93.94,$92.46,$93.80,61.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.27,36.47%,23.88%,106.04,0.85%,12.71%
FREL,Fidelity MSCI Real Estate Index ETF,Real Estate,"$1,129,705,707.00",5.67%,"305,394",$29.44,-1.34%,No,No,0.14%,3.23%,19.52%,38.42%,47.87%,"$39,773,563.50","$8,873,901.50","$30,441,096.00","$274,473,454.00","$758,617,899.50","$941,330,538.00",Real Estate,2015-02-02,0.08%,Fidelity,$0.93,2019-12-20,$0.20,3.11%,30.86,0.65,175,38.17%,35%,15%,1099,$27.91,$29.82,$29.30,$29.72,63.53,N/A,N/A,A,N/A,N/A,N/A,A+,4.48,47.65%,29.75%,117.54,0.71%,10.80%
SRET,Global X SuperDividend REIT ETF,Real Estate,"$536,616,531.00",2.47%,"343,087",$15.65,-0.25%,No,No,0.71%,0.90%,13.34%,34.65%,N/A,"$71,143,441.00",$0.00,"$38,780,003.50","$356,316,918.50","$467,356,576.00","$507,310,736.50",Real Estate,2015-03-16,0.59%,E*TRADE,$1.20,2020-02-05,$0.10,7.64%,12.18,0.69,31,34.85%,35%,15%,1099,$15.29,$15.69,$15.62,$15.71,62.40,N/A,N/A,C+,N/A,N/A,N/A,B-,2.48,10.00%,5.17%,36.65,3.69%,5.90%
REZ,iShares Residential Real Estate ETF,Real Estate,"$510,479,992.00",6.80%,"77,753",$80.46,-1.73%,No,No,0.58%,3.23%,19.20%,42.26%,54.66%,"-$45,350,059.50",$0.00,"-$7,871,305.00","$41,583,805.00","$41,625,181.00","$94,075,434.00",Real Estate,2007-05-04,0.48%,N/A,$2.18,2019-12-16,$0.64,2.67%,34.56,0.28,44,61.49%,35%,15%,1099,$76.98,$81.45,$79.93,$81.51,61.74,A,B+,B-,A-,A-,A-,B,3.74,21.18%,16.21%,92.68,0.00%,7.97%
GQRE,FlexShares Global Quality Real Estate Index Fund,Real Estate,"$435,955,047.00",3.70%,"18,610",$67.18,-0.71%,No,No,0.44%,1.52%,12.69%,28.62%,32.76%,"$19,676,499.00",$0.00,"$13,204,200.50","$90,423,484.00","$190,809,489.50","$305,791,639.90",Global Real Estate,2013-11-05,0.45%,N/A,$2.78,2019-12-20,$1.68,4.11%,25.40,0.61,147,33.94%,35%,15%,1099,$65.13,$67.65,$66.95,$67.62,62.55,N/A,N/A,A-,N/A,N/A,N/A,N/A,4.74,25.48%,34.34%,84.53,1.57%,10.73%
IFGL,iShares International Developed Real Estate ETF,Real Estate,"$392,909,312.00",1.52%,"49,534",$30.66,0.07%,No,No,0.20%,0.92%,12.07%,31.82%,24.80%,$0.00,$0.00,$0.00,"-$132,034,766.00","-$127,094,276.00","-$529,008,519.00",Global Real Estate,2007-11-12,0.48%,Fidelity,$2.30,2019-12-16,$1.15,7.47%,11.29,0.58,208,25.88%,35%,15%,1099,$29.98,$30.77,N/A,N/A,61.20,A,A+,B+,A-,B+,B+,A-,6.15,89.19%,68.58%,83.92,2.39%,23.63%
MRRL,ETRACS Monthly Pay 2xLeveraged Mortgage REIT ETN,Real Estate,"$382,851,334.00",9.72%,"205,765",$15.67,0.06%,No,2x,2.62%,7.77%,23.31%,35.87%,N/A,"$137,697,353.50","$23,921,833.75","$47,650,312.19","$258,173,282.50","$330,629,256.50","$322,857,806.50",Leveraged Real Estate,2015-10-08,0.40%,N/A,$1.23,2020-02-11,$0.03,7.85%,0.00,1.23,25,63.73%,39%,20%,1099,$14.14,$15.73,$15.64,$15.73,73.34,N/A,N/A,B+,N/A,N/A,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MORL,ETRACS Monthly Pay 2xLeveraged Mortgage REIT ETN,Real Estate,"$337,505,325.00",9.53%,"219,718",$15.61,-0.06%,No,2x,2.83%,7.35%,16.10%,55.67%,100.13%,"-$112,277,780.00",$0.00,"-$26,502,960.00","-$126,530,132.59","$73,968,802.06","$151,111,394.06",Leveraged Real Estate,2012-10-17,0.40%,N/A,$1.23,2020-02-11,$0.03,7.88%,0.00,1.14,25,63.73%,35%,15%,1099,$14.13,$15.69,$15.57,$15.68,72.49,A+,B,A+,N/A,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
