Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
ROBO,ROBO Global Robotics and Automation Index ETF,Equity,"$1,280,921,505.00",3.05%,"131,565",$43.28,-0.21%,No,No,-1.12%,-1.19%,11.69%,38.02%,68.61%,"-$32,171,815.00","-$15,086,400.00","-$23,599,509.00","-$205,049,834.00","$811,049,252.00","$941,819,161.50",Global Equities,2013-10-22,0.95%,N/A,$0.16,2019-12-24,$0.16,0.36%,27.51,1.38,89,18.69%,35%,15%,1099,$41.57,$44.32,$42.89,$43.54,53.95,N/A,N/A,C,N/A,N/A,N/A,N/A,5.37,44.76%,46.92%,35.53,6.05%,6.79%
QYLD,Global X NASDAQ 100 Covered Call ETF,Equity,"$1,066,241,020.00",3.13%,"384,402",$24.15,0.00%,No,No,0.08%,1.51%,18.96%,39.31%,63.75%,"$134,987,703.50","$13,254,880.00","$58,909,526.50","$587,434,363.00","$968,049,779.50","$1,018,813,327.50",Large Cap Growth Equities,2013-12-12,0.60%,N/A,$2.30,2020-01-21,$0.20,9.54%,23.53,0.68,104,56.00%,35%,15%,1099,$23.43,$24.37,N/A,N/A,67.29,A,B+,C+,A,A,A+,N/A,5.7,54.08%,55.00%,45.89,9.90%,7.93%
KOMP,SPDR S&P Kensho New Economies Composite ETF,Equity,"$570,295,627.00",9.15%,"206,103",$39.38,-0.25%,No,No,0.92%,3.50%,26.06%,N/A,N/A,"$438,715,305.70","$217,422,720.30","$433,173,484.30","$537,958,857.40","$537,993,572.15","$537,993,572.15",All Cap Equities,2018-10-22,0.20%,N/A,$0.29,2019-12-30,$0.06,0.74%,19.74,1.22,386,13.55%,39%,20%,1099,$36.46,$39.58,$38.91,$39.71,67.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.28,39.66%,44.84%,147.84,17.17%,10.19%
PNQI,Invesco NASDAQ Internet ETF,Equity,"$562,904,100.00",10.54%,"23,871",$156.33,-0.70%,No,No,0.62%,3.37%,20.44%,69.06%,122.07%,"-$29,604,871.00",$0.00,"-$7,436,117.50","-$110,919,065.50","$10,424,057.50","$24,700,199.00",Large Cap Growth Equities,2008-06-12,0.62%,N/A,$0.00,2017-12-18,$0.03,0.00%,35.53,1.20,83,58.25%,35%,15%,1099,$144.89,$158.61,$155.08,$157.69,64.25,B,B,B,A,B,C,A-,3.6,9.07%,14.68%,15.17,7.92%,0.61%
ARKQ,ARK Industrial Innovation ETF,Equity,"$214,108,524.00",16.65%,"37,439",$43.32,-0.39%,No,No,1.20%,7.66%,23.35%,80.83%,118.71%,"$12,427,238.50","$4,276,534.00","$12,413,167.50","-$4,879,498.00","$132,747,801.50","$141,266,625.50",All Cap Equities,2014-09-30,0.75%,N/A,$0.00,2018-12-27,$0.55,0.00%,31.33,1.52,39,53.88%,35%,15%,1099,$37.79,$44.20,$42.77,$43.80,68.77,N/A,N/A,C,N/A,N/A,N/A,N/A,5.29,39.58%,45.09%,31.03,10.31%,15.84%
AIEQ,AI Powered Equity ETF,Equity,"$117,104,050.00",6.21%,"29,319",$30.22,-0.07%,No,No,0.54%,1.77%,18.20%,N/A,N/A,"-$4,384,507.50","-$750,935.00","-$3,696,070.00","-$52,922,237.50","$101,440,100.00","$101,440,100.00",Large Cap Growth Equities,2017-10-18,0.87%,N/A,$0.16,2019-09-20,$0.05,0.53%,23.24,1.38,141,24.53%,39%,20%,1099,$28.60,$30.49,$30.02,$30.38,66.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.31,31.98%,45.49%,156.54,10.01%,4.38%
DTEC,ALPS Disruptive Technologies ETF,Equity,"$92,185,428.00",8.25%,"11,916",$34.86,-0.14%,No,No,1.36%,2.35%,22.83%,N/A,N/A,"$6,750,276.50","$1,719,390.50","$1,719,390.50","$26,055,222.50","$72,855,771.00","$72,855,771.00",Large Cap Growth Equities,2017-12-29,0.50%,N/A,$0.14,2019-12-19,$0.14,0.40%,34.65,1.24,101,12.37%,39%,20%,1099,$32.98,$35.01,$34.53,$35.12,67.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.29,77.62%,72.22%,54.56,0.92%,13.25%
ROBT,First Trust Nasdaq Artificial Intelligence and Robotics ETF,Equity,"$87,087,528.00",5.89%,"13,653",$36.41,-0.36%,No,No,-0.77%,-0.01%,16.98%,N/A,N/A,"$9,015,476.00","$1,833,082.50","$5,447,091.50","$43,261,160.50","$74,333,409.50","$74,333,409.50",Technology Equities,2018-02-21,0.65%,N/A,$0.15,2019-12-13,$0.01,0.40%,29.83,1.37,99,23.74%,39%,20%,1099,$35.06,$37.03,$36.13,$36.61,58.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.01,67.42%,64.75%,27.57,10.03%,5.36%
IRBO,iShares Robotics and Artificial Intelligence ETF,Equity,"$85,820,820.00",6.54%,"26,589",$28.68,-0.59%,No,No,-0.55%,0.68%,19.15%,N/A,N/A,"$22,268,764.00","$5,751,818.00","$16,783,708.00","$46,700,290.00","$64,231,290.00","$64,231,290.00",Global Equities,2018-06-26,0.47%,N/A,$0.19,2019-12-16,$0.07,0.64%,17.98,1.44,104,12.29%,39%,20%,1099,$27.13,$29.23,$28.42,$28.92,59.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.43,22.38%,26.77%,34.48,2.09%,2.45%
LEGR,First Trust Indxx Innovative Transaction & Process ETF,Equity,"$46,668,772.00",4.29%,"2,234",$33.34,-0.80%,No,No,-0.36%,1.52%,19.35%,N/A,N/A,$0.00,$0.00,$0.00,"-$1,497,424.00","$38,726,019.50","$38,726,019.50",Large Cap Blend Equities,2018-01-24,0.65%,N/A,$0.65,2019-12-13,$0.11,1.94%,17.37,1.00,101,18.37%,39%,20%,1099,$31.58,$34.07,$33.17,$33.54,59.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.7,88.39%,81.31%,64.1,5.89%,3.97%
QTUM,Defiance Quantum ETF,Equity,"$29,333,055.00",5.31%,"25,035",$30.95,-0.99%,No,No,-1.38%,-0.36%,31.68%,N/A,N/A,"$7,556,725.00","$1,566,570.00","$3,022,060.00","$21,488,655.00","$23,581,815.00","$23,581,815.00",Technology Equities,2018-09-05,0.40%,N/A,$0.18,2019-12-26,$0.04,0.58%,20.82,1.31,84,15.50%,39%,20%,1099,$29.23,$31.75,$30.66,$31.23,57.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.36,44.19%,46.72%,52.23,11.73%,3.36%
